original_smi	transformed_smi	constant_smi	original_frag	new_frag	envsmi	rule_freq	ex_lhs_cpd_smi	ex_rhs_cpd_smi	ex_lhs_cpd_id	ex_rhs_cpd_id	heavies_diff
O=S(=O)(c3ccc(n1nc(cc1c2ccc(cc2)C)C(F)(F)F)cc3)N	Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccccc2)cc1	[*]c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(C)cc2)cc1	[*]S(N)(=O)=O	[*:1][H]	ccc(cc)[*:1]	1103	NS(=O)(=O)c1ccc(C(=O)NCC(=O)O)cc1	O=C(O)CNC(=O)c1ccccc1	CHEMBL51385	CHEMBL1201104	0
O=S(=O)(c3ccc(n1nc(cc1c2ccc(cc2)C)C(F)(F)F)cc3)N	COc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(C)cc2)cc1	[*]c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(C)cc2)cc1	[*]S(N)(=O)=O	[*:1]OC	ccc(cc)[*:1]	607	NS(=O)(=O)c1ccc(C(=O)NCC(=O)O)cc1	COc1ccc(C(=O)NCC(=O)O)cc1	CHEMBL51385	CHEMBL8441	2
O=S(=O)(c3ccc(n1nc(cc1c2ccc(cc2)C)C(F)(F)F)cc3)N	Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(Cl)cc2)cc1	[*]c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(C)cc2)cc1	[*]S(N)(=O)=O	[*:1]Cl	ccc(cc)[*:1]	523	NS(=O)(=O)c1ccc(C(=O)NCC(=O)O)cc1	O=C(O)CNC(=O)c1ccc(Cl)cc1	CHEMBL51385	CHEMBL462	1
O=S(=O)(c3ccc(n1nc(cc1c2ccc(cc2)C)C(F)(F)F)cc3)N	Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(C)(=O)=O)cc2)cc1	[*]c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(C)cc2)cc1	[*]S(N)(=O)=O	[*:1]S(C)(=O)=O	ccc(cc)[*:1]	497	NS(=O)(=O)c1ccc(-n2cc(-c3ccc(F)cc3)nn2)cc1	CS(=O)(=O)c1ccc(-n2cc(-c3ccc(F)cc3)nn2)cc1	CHEMBL468367	CHEMBL507789	4
O=S(=O)(c3ccc(n1nc(cc1c2ccc(cc2)C)C(F)(F)F)cc3)N	Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(F)cc2)cc1	[*]c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(C)cc2)cc1	[*]S(N)(=O)=O	[*:1]F	ccc(cc)[*:1]	491	C=CCc1cc(F)cc(/C=N/NC(=O)CN2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)c1O	C=CCc1cc(F)cc(/C=N/NC(=O)CN2CCN(Cc3ccc(F)cc3)CC2)c1O	CHEMBL3426428	CHEMBL3426432	1
O=S(=O)(c3ccc(n1nc(cc1c2ccc(cc2)C)C(F)(F)F)cc3)N	Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(C)cc2)cc1	[*]c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(C)cc2)cc1	[*]S(N)(=O)=O	[*:1]C	ccc(cc)[*:1]	408	NS(=O)(=O)c1ccc(C(=O)NCC(=O)O)cc1	Cc1ccc(C(=O)NCC(=O)O)cc1	CHEMBL51385	CHEMBL274877	1
O=S(=O)(c3ccc(n1nc(cc1c2ccc(cc2)C)C(F)(F)F)cc3)N	Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(C(=O)O)cc2)cc1	[*]c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(C)cc2)cc1	[*]S(N)(=O)=O	[*:1]C(=O)O	ccc(cc)[*:1]	275	NS(=O)(=O)c1ccc(NNc2c3ccccc3nc3ccccc23)cc1	O=C(O)c1ccc(NNc2c3ccccc3nc3ccccc23)cc1	CHEMBL1966874	CHEMBL2094690	3
O=S(=O)(c3ccc(n1nc(cc1c2ccc(cc2)C)C(F)(F)F)cc3)N	Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc([N+](=O)[O-])cc2)cc1	[*]c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(C)cc2)cc1	[*]S(N)(=O)=O	[*:1][N+](=O)[O-]	ccc(cc)[*:1]	265	NS(=O)(=O)c1ccc(C(=O)NCC(=O)O)cc1	O=C(O)CNC(=O)c1ccc([N+](=O)[O-])cc1	CHEMBL51385	CHEMBL8682	3
O=S(=O)(c3ccc(n1nc(cc1c2ccc(cc2)C)C(F)(F)F)cc3)N	Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(O)cc2)cc1	[*]c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(C)cc2)cc1	[*]S(N)(=O)=O	[*:1]O	ccc(cc)[*:1]	255	NS(=O)(=O)c1ccc(-c2ccc(C(=O)c3ccccc3)cc2)cc1	O=C(c1ccccc1)c1ccc(-c2ccc(O)cc2)cc1	CHEMBL3632832	CHEMBL1341020	1
O=S(=O)(c3ccc(n1nc(cc1c2ccc(cc2)C)C(F)(F)F)cc3)N	Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(C(N)=O)cc2)cc1	[*]c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(C)cc2)cc1	[*]S(N)(=O)=O	[*:1]C(N)=O	ccc(cc)[*:1]	215	COc1cc(Oc2c(C)cc(C#N)cc2C)cc(NC2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)n1	COc1cc(Oc2c(C)cc(C#N)cc2C)cc(NC2CCN(Cc3ccc(C(N)=O)cc3)CC2)n1	CHEMBL3901141	CHEMBL3973258	3
O=S(=O)(c3ccc(n1nc(cc1c2ccc(cc2)C)C(F)(F)F)cc3)N	Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(Br)cc2)cc1	[*]c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(C)cc2)cc1	[*]S(N)(=O)=O	[*:1]Br	ccc(cc)[*:1]	205	NS(=O)(=O)c1ccc(C(=O)NCC(=O)O)cc1	O=C(O)CNC(=O)c1ccc(Br)cc1	CHEMBL51385	CHEMBL450762	1
O=S(=O)(c3ccc(n1nc(cc1c2ccc(cc2)C)C(F)(F)F)cc3)N	Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(C#N)cc2)cc1	[*]c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(C)cc2)cc1	[*]S(N)(=O)=O	[*:1]C#N	ccc(cc)[*:1]	193	C=CCc1cc(F)cc(/C=N/NC(=O)CN2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)c1O	C=CCc1cc(F)cc(/C=N/NC(=O)CN2CCN(Cc3ccc(C#N)cc3)CC2)c1O	CHEMBL3426428	CHEMBL3426430	2
O=S(=O)(c3ccc(n1nc(cc1c2ccc(cc2)C)C(F)(F)F)cc3)N	CC(=O)Nc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(C)cc2)cc1	[*]c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(C)cc2)cc1	[*]S(N)(=O)=O	[*:1]NC(C)=O	ccc(cc)[*:1]	170	Cc1nc(-c2ccccc2)sc1C(=O)Nc1ccc(S(N)(=O)=O)cc1	CC(=O)Nc1ccc(NC(=O)c2sc(-c3ccccc3)nc2C)cc1	CHEMBL1490019	CHEMBL1716793	4
O=S(=O)(c3ccc(n1nc(cc1c2ccc(cc2)C)C(F)(F)F)cc3)N	CC(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(C)cc2)cc1	[*]c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(C)cc2)cc1	[*]S(N)(=O)=O	[*:1]C(C)=O	ccc(cc)[*:1]	152	Nc1c(S(=O)(=O)O)cc(Nc2ccc(S(N)(=O)=O)cc2)c2c1C(=O)c1ccccc1C2=O	CC(=O)c1ccc(Nc2cc(S(=O)(=O)O)c(N)c3c2C(=O)c2ccccc2C3=O)cc1	CHEMBL2163818	CHEMBL1206418	3
O=S(=O)(c3ccc(n1nc(cc1c2ccc(cc2)C)C(F)(F)F)cc3)N	CCOc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(C)cc2)cc1	[*]c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(C)cc2)cc1	[*]S(N)(=O)=O	[*:1]OCC	ccc(cc)[*:1]	141	Nc1c(S(=O)(=O)O)cc(Nc2ccc(S(N)(=O)=O)cc2)c2c1C(=O)c1ccccc1C2=O	CCOc1ccc(Nc2cc(S(=O)(=O)O)c(N)c3c2C(=O)c2ccccc2C3=O)cc1	CHEMBL2163818	CHEMBL1206420	3
O=S(=O)(c3ccc(n1nc(cc1c2ccc(cc2)C)C(F)(F)F)cc3)N	Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(C(F)(F)F)cc2)cc1	[*]c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(C)cc2)cc1	[*]S(N)(=O)=O	[*:1]C(F)(F)F	ccc(cc)[*:1]	137	NS(=O)(=O)c1ccc(C(=O)NCC(=O)O)cc1	O=C(O)CNC(=O)c1ccc(C(F)(F)F)cc1	CHEMBL51385	CHEMBL501107	4
O=S(=O)(c3ccc(n1nc(cc1c2ccc(cc2)C)C(F)(F)F)cc3)N	COC(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(C)cc2)cc1	[*]c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(C)cc2)cc1	[*]S(N)(=O)=O	[*:1]C(=O)OC	ccc(cc)[*:1]	136	Cc1c(C)n(Cc2ccc(-c3ccccc3C(=O)O)cc2)c2ccc(C(=O)NCc3ccc(S(N)(=O)=O)cc3)cc12	COC(=O)c1ccc(CNC(=O)c2ccc3c(c2)c(C)c(C)n3Cc2ccc(-c3ccccc3C(=O)O)cc2)cc1	CHEMBL3695775	CHEMBL3695774	4
O=S(=O)(c3ccc(n1nc(cc1c2ccc(cc2)C)C(F)(F)F)cc3)N	CCOC(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(C)cc2)cc1	[*]c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(C)cc2)cc1	[*]S(N)(=O)=O	[*:1]C(=O)OCC	ccc(cc)[*:1]	132	NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(C(F)(F)F)cc2)cc1	CCOC(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(C(F)(F)F)cc2)cc1	CHEMBL285831	CHEMBL241971	5
O=S(=O)(c3ccc(n1nc(cc1c2ccc(cc2)C)C(F)(F)F)cc3)N	Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(N)cc2)cc1	[*]c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(C)cc2)cc1	[*]S(N)(=O)=O	[*:1]N	ccc(cc)[*:1]	126	NS(=O)(=O)c1ccc(C(=O)NCC(=O)O)cc1	Nc1ccc(C(=O)NCC(=O)O)cc1	CHEMBL51385	CHEMBL463	1
O=S(=O)(c3ccc(n1nc(cc1c2ccc(cc2)C)C(F)(F)F)cc3)N	Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(N3CCOCC3)cc2)cc1	[*]c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(C)cc2)cc1	[*]S(N)(=O)=O	[*:1]N1CCOCC1	ccc(cc)[*:1]	114	COC(=O)c1c(CNC(=O)c2ccc(S(N)(=O)=O)cc2)c(=O)c2ccc(Cl)cc2n1-c1ccccc1	COC(=O)c1c(CNC(=O)c2ccc(N3CCOCC3)cc2)c(=O)c2ccc(Cl)cc2n1-c1ccccc1	CHEMBL3679534	CHEMBL3679542	6
O=S(=O)(c3ccc(n1nc(cc1c2ccc(cc2)C)C(F)(F)F)cc3)N	Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(N(C)C)cc2)cc1	[*]c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(C)cc2)cc1	[*]S(N)(=O)=O	[*:1]N(C)C	ccc(cc)[*:1]	108	Cc1c(C)n(Cc2ccc(-c3ccccc3C(=O)O)cc2)c2ccc(C(=O)NCc3ccc(S(N)(=O)=O)cc3)cc12	Cc1c(C)n(Cc2ccc(-c3ccccc3C(=O)O)cc2)c2ccc(C(=O)NCc3ccc(N(C)C)cc3)cc12	CHEMBL3695775	CHEMBL3695770	3
